Canibacter	Microbacteriaceae
Capnocytophaga	Flavobacteriaceae
Carboxydocella	Unclassified_Clostridiales
Carboxydothermus	Thermoanaerobacteraceae
Carboxylicivirga	Marinilabiliaceae
Cardiobacterium	Cardiobacteriaceae
Carnimonas	Halomonadaceae
Carnobacterium	Carnobacteriaceae
Caryophanon	Planococcaceae
Castellaniella	Alcaligenaceae
Catabacter	Unclassified_Clostridiales
Catalinimonas	Catalimonadaceae
Catellatospora	Micromonosporaceae
Catellicoccus	Enterococcaceae
Catelliglobosispora	Micromonosporaceae
Catenibacterium	Erysipelotrichaceae
Catenisphaera	Erysipelotrichaceae
Catenovulum	Alteromonadaceae
Catenulispora	Catenulisporaceae
Catenuloplanes	Micromonosporaceae
Catonella	Lachnospiraceae
Caulobacter	Caulobacteraceae
Cecembia	Cyclobacteriaceae
Cedecea	Enterobacteriaceae
Celeribacter	Rhodobacteraceae
Celerinatantimonas	Celerinatantimonadaceae
Cellulomonas	Cellulomonadaceae
Cellulophaga	Flavobacteriaceae
Cellulosibacter	Clostridiaceae
Cellulosilyticum	Lachnospiraceae
Cellulosimicrobium	Promicromonosporaceae
Cellvibrio	Pseudomonadaceae
Centipeda	Veillonellaceae
Cerasibacillus	Bacillaceae
Cerasicoccus	Puniceicoccaceae
Cereibacter	Rhodobacteraceae
Cesiribacter	Flammeovirgaceae
Cetia	Nautiliaceae
Cetobacterium	Fusobacteriaceae
Chalicogloea	Chroococcales
Chelativorans	Phyllobacteriaceae
Chelatococcus	Beijerinckiaceae
Chelonobacter	Pasteurellaceae
Chiayiivirga	Lysobacteraceae
Chishuiella	Flavobacteriaceae
Chitinibacter	Neisseriaceae
Chitinilyticum	Neisseriaceae
Chitinimonas	Burkholderiaceae
Chitiniphilus	Neisseriaceae
Chitinivibrio	Chitinivibrionaceae
Chitinivorax	Unclassified_Betaproteobacteria
Chitinophaga	Chitinophagaceae
Chlamydia	Chlamydiaceae
Chlamydophila	Chlamydiaceae
Chloracidobacterium	Acidobacteriaceae
Chlorobaculum	Chlorobiaceae
Chlorobium	Chlorobiaceae
Chloroflexus	Chloroflexaceae
Chloroherpeton	Chlorobiaceae
Chondromyces	Polyangiaceae
Christensenella	Christensenellaceae
Chromatium	Chromatiaceae
Chromatocurvus	Unclassified_Gammaproteobacteria
Chromobacterium	Chromobacteriaceae
Chromohalobacter	Halomonadaceae
Chryseobacterium	Flavobacteriaceae
Chryseoglobus	Microbacteriaceae
Chryseolinea	Unclassified_Cytophagales
Chryseomicrobium	Planococcaceae
Chrysiogenes	Chrysiogenaceae
Chthonomonas	Chthonomonadaceae
Chungangia	Unclassified_Bacillales
Ciceribacter	Rhizobiaceae
Citreicella	Rhodobacteraceae
Citreimonas	Rhodobacteraceae
Citreitalea	Flavobacteriaceae
Citricoccus	Micrococcaceae
Citrobacter	Enterobacteriaceae
Clavibacter	Microbacteriaceae
Cloacibacillus	Synergistaceae
Cloacibacterium	Flavobacteriaceae
Clostridiisalibacter	Clostridiaceae
Clostridium	Clostridiaceae
Cnuella	Chitinophagaceae
Cobetia	Halomonadaceae
Cocleimonas	Thiotrichaceae
Coenonia	Flavobacteriaceae
Cohaesibacter	Cohaesibacteraceae
Cohnella	Paenibacillaceae
Collimonas	Oxalobacteraceae
Collinsella	Coriobacteriaceae
Colwellia	Colwelliaceae
Comamonas	Comamonadaceae
Compostibacillus	Bacillaceae
Compostimonas	Microbacteriaceae
Conchiformibius	Neisseriaceae
Conexibacter	Conexibacteraceae
Confluentimicrobium	Rhodobacteraceae
Congregibacter	Unclassified_Alteromonadales
Constrictibacter	Rhodospirillaceae
Conyzicola	Microbacteriaceae
Coprobacillus	Erysipelotrichaceae
Coprobacter	Porphyromonadaceae
Coprococcus	Lachnospiraceae
Coprothermobacter	Thermodesulfobiaceae
Coraliomargarita	Puniceicoccaceae
Corallibacter	Flavobacteriaceae
Corallococcus	Myxococcaceae
Corallomonas	Oceanospirillaceae
Coriobacterium	Coriobacteriaceae
Corynebacterium	Corynebacteriaceae
Cosenzaea	Enterobacteriaceae
Costertonia	Flavobacteriaceae
Couchioplanes	Micromonosporaceae
Coxiella	Coxiellaceae
Craurococcus	Acetobacteraceae
Crenobacter	Neisseriaceae
Crenotalea	Chitinophagaceae
Cribrihabitans	Rhodobacteraceae
Cricetibacter	Pasteurellaceae
Crinalium	Oscillatoriales
Croceibacter	Flavobacteriaceae
Croceicoccus	Erythrobacteraceae
Croceitalea	Flavobacteriaceae
Crocinitomix	Cryomorphaceae
Cronobacter	Enterobacteriaceae
Crossiella	Pseudonocardiaceae
Cruoricaptor	Flavobacteriaceae
Cryobacterium	Microbacteriaceae
Cryomorpha	Cryomorphaceae
Cryptanaerobacter	Peptococcaceae
Cryptobacterium	Eggerthellaceae
Cryptosporangium	Cryptosporangiaceae
Cucumibacter	Hyphomicrobiaceae
Cupriavidus	Burkholderiaceae
Curtobacterium	Microbacteriaceae
Curvibacter	Comamonadaceae
Cyclobacterium	Cyclobacteriaceae
Cycloclasticus	Piscirickettsiaceae
Cystobacter	Cystobacteraceae
Cytophaga	Cytophagaceae
Dactylosporangium	Micromonosporaceae
Daeguia	Brucellaceae
Dasania	Unclassified_Pseudomonadales
Dechloromonas	Rhodocyclaceae
Deefgea	Neisseriaceae
Deferribacter	Deferribacteraceae
Deferrisoma	Unclassified_Deltaproteobacteria
Defluviicoccus	Rhodospirillaceae
Defluviimonas	Rhodobacteraceae
Defluviitalea	Defluviitaleaceae
Defluviitoga	Thermotogaceae
Dehalobacter	Peptococcaceae
Dehalococcoides	Dehalococcoidaceae
Dehalogenimonas	Dehalococcoidaceae
Deinobacterium	Deinococcaceae
Deinococcus	Deinococcaceae
Delftia	Comamonadaceae
Demequina	Demequinaceae
Demetria	Dermacoccaceae
Dendrosporobacter	Veillonellaceae
Denitratisoma	Rhodocyclaceae
Denitrobacterium	Eggerthellaceae
Denitrovibrio	Deferribacteraceae
Dermabacter	Dermabacteraceae
Dermacoccus	Dermacoccaceae
Dermatophilus	Dermatophilaceae
Derxia	Alcaligenaceae
Desemzia	Carnobacteriaceae
Desertibacter	Rhodospirillaceae
Desmospora	Thermoactinomycetaceae
Desulfacinum	Syntrophobacteraceae
Desulfarculus	Desulfarculaceae
Desulfatibacillum	Desulfobacteraceae
Desulfatiferula	Desulfobacteraceae
Desulfatiglans	Desulfarculaceae
Desulfatirhabdium	Desulfobacteraceae
Desulfatitalea	Desulfobacteraceae
Desulfitibacter	Peptococcaceae
Desulfitispora	Peptococcaceae
Desulfitobacterium	Peptococcaceae
Desulfobacca	Syntrophaceae
Desulfobacter	Desulfobacteraceae
Desulfobacterium	Desulfobacteraceae
Desulfobacula	Desulfobacteraceae
Desulfobaculum	Desulfovibrionaceae
Desulfobotulus	Desulfobacteraceae
Desulfobulbus	Desulfobulbaceae
Desulfocapsa	Desulfobulbaceae
Desulfocarbo	Desulfarculaceae
Desulfocella	Desulfobacteraceae
Desulfococcus	Desulfobacteraceae
Desulfoconvexum	Desulfobacteraceae
Desulfocurvus	Desulfovibrionaceae
Desulfofaba	Desulfobacteraceae
Desulfofrigus	Desulfobacteraceae
Desulfofustis	Desulfobulbaceae
Desulfoglaeba	Syntrophobacteraceae
Desulfohalobium	Desulfohalobiaceae
Desulfoluna	Desulfobacteraceae
Desulfomicrobium	Desulfomicrobiaceae
Desulfomonile	Syntrophaceae
Desulfonatronobacter	Desulfobacteraceae
Desulfonatronospira	Desulfohalobiaceae
Desulfonatronovibrio	Desulfohalobiaceae
Desulfonatronum	Desulfonatronaceae
Desulfonauticus	Desulfohalobiaceae
Desulfonema	Desulfobacteraceae
Desulfonispora	Peptococcaceae
Desulfopila	Desulfobulbaceae
Desulfoprunum	Desulfobulbaceae
Desulforegula	Desulfobacteraceae
Desulforhabdus	Syntrophobacteraceae
Desulforhopalus	Desulfobulbaceae
Desulfosalsimonas	Desulfobacteraceae
Desulfosarcina	Desulfobacteraceae
Desulfosoma	Syntrophobacteraceae
Desulfospira	Desulfobacteraceae
Desulfosporosinus	Peptococcaceae
Desulfotalea	Desulfobulbaceae
Desulfothermus	Desulfohalobiaceae
Desulfotignum	Desulfobacteraceae
Desulfotomaculum	Peptococcaceae
Desulfovermiculus	Desulfohalobiaceae
Desulfovibrio	Desulfovibrionaceae
Desulfovirga	Syntrophobacteraceae
Desulfovirgula	Thermoanaerobacteraceae
Desulfurella	Desulfurellaceae
Desulfuribacillus	Unclassified_Bacillales
Desulfurispira	Chrysiogenaceae
Desulfurispirillum	Chrysiogenaceae
Desulfurispora	Peptococcaceae
Desulfurivibrio	Desulfobulbaceae
Desulfurobacterium	Desulfurobacteriaceae
Desulfurococcus	Desulfurococcaceae
Desulfuromonas	Desulfuromonadaceae
Desulfuromusa	Desulfuromonadaceae
Dethiobacter	Syntrophomonadaceae
Dethiosulfatibacter	Unclassified_Clostridiales
Dethiosulfovibrio	Synergistaceae
Devosia	Hyphomicrobiaceae
Devriesea	Dermabacteraceae
Dialister	Veillonellaceae
Diaminobutyricibacter	Microbacteriaceae
Diaminobutyricimonas	Microbacteriaceae
Diaphorobacter	Comamonadaceae
Dichelobacter	Cardiobacteriaceae
Dichotomicrobium	Hyphomicrobiaceae
Dickeya	Enterobacteriaceae
Dictyoglomus	Dictyoglomaceae
Dietzia	Dietziaceae
Dinoroseobacter	Rhodobacteraceae
Diplorickettsia	Coxiellaceae
Dissulfuribacter	Unclassified_Deltaproteobacteria
Dokdonella	Rhodanobacteraceae
Dokdonia	Flavobacteriaceae
Dolosicoccus	Aerococcaceae
Dolosigranulum	Carnobacteriaceae
Domibacillus	Bacillaceae
Donghicola	Rhodobacteraceae
Dongia	Rhodospirillaceae
Dorea	Lachnospiraceae
Draconibacterium	Prolixibacteraceae
Duganella	Oxalobacteraceae
Dyadobacter	Cytophagaceae
Dyella	Rhodanobacteraceae
Dysgonomonas	Porphyromonadaceae
Echinicola	Cyclobacteriaceae
Echinimonas	Vibrionaceae
Ectothiorhodosinus	Ectothiorhodospiraceae
Ectothiorhodospira	Ectothiorhodospiraceae
Edaphobacter	Acidobacteriaceae
Edwardsiella	Enterobacteriaceae
Effusibacillus	Alicyclobacillaceae
Eggerthella	Eggerthellaceae
Eggerthia	Erysipelotrichaceae
Ehrlichia	Anaplasmataceae
Eikenella	Neisseriaceae
Eilatimonas	Unclassified_Alphaproteobacteria
Eionea	Unclassified_Alteromonadales
Eisenbergiella	Clostridiaceae
Ekhidna	Cytophagaceae
Elioraea	Unclassified_Rhodospirillales
Elizabethkingia	Flavobacteriaceae
Elstera	Rhodospirillaceae
Elusimicrobium	Elusimicrobiaceae
Empedobacter	Flavobacteriaceae
Emticicia	Cytophagaceae
Endobacter	Acetobacteraceae
Endozoicomonas	Hahellaceae
Enhydrobacter	Moraxellaceae
Enhygromyxa	Nannocystaceae
Ensifer	Rhizobiaceae
Enteractinococcus	Micrococcaceae
Enterobacter	Enterobacteriaceae
Enterococcus	Enterococcaceae
Enterorhabdus	Eggerthellaceae
Enterovibrio	Vibrionaceae
